REPORTE,TRANSACTIONID,DATE,STOREID,CUSTOMERID,PRODUCTID,CHANNEL,PAYMENTMETHOD,PROMOTION,QUANTITY,UNITPRICE,DISCOUNTPCT,GROSSSALES,TAXAMOUNT,NETSALES,UNITCOST,RETURNFLAG
RETAILMAX S.A. - VENTAS 2021,,,,,,,,,,,,,,,,
RETAILMAX S.A. - VENTAS 2021,2021-000001,2021-06-29 21:26:47,S1014,C00356,P2062,Tienda,Financiamiento,Promo 10%,3,89.51,0.2,268.53,32.22,236.31,74.21,0
RETAILMAX S.A. - VENTAS 2021,2021-000002,2021-09-02 08:27:55,S1006,C00085,P2088,Marketplace,Billetera Digital,Black Friday,4,571.92,0.0,2287.68,297.4,1990.28,308.2,0
RETAILMAX S.A. - VENTAS 2021,2021-000003,2021-05-12 06:52:55,S1011,C00480,P2032,Tienda,Billetera Digital,Black Friday,1,396.58,0.15,396.58,47.59,348.99,330.43,0
RETAILMAX S.A. - VENTAS 2021,2021-000004,2021-09-24 00:15:42,S1034,C00441,P2028,Marketplace,Financiamiento,Promo 15%,1,598.19,0.0,598.19,89.73,508.46,344.08,0
RETAILMAX S.A. - VENTAS 2021,2021-000005,2021-03-21 15:30:46,S1014,C00717,P2141,Marketplace,Billetera Digital,2x1,2,832.49,0.0,1664.98,199.8,1465.18,384.64,0
RETAILMAX S.A. - VENTAS 2021,2021-000006,2021-07-07 22:16:40,S1027,C00085,P2101,Call Center,Efectivo,2x1,1,286.05,0.15,286.05,42.91,243.14,262.94,0
RETAILMAX S.A. - VENTAS 2021,2021-000007,2021-10-13 17:33:58,S1035,C00186,P2120,Call Center,Transferencia,Promo 15%,1,179.55,0.1,179.55,26.93,152.62,113.2,0
RETAILMAX S.A. - VENTAS 2021,2021-000008,2021-06-26 14:29:43,S1023,C00519,P2137,Tienda,Efectivo,2x1,3,342.99,0.2,1028.97,154.35,874.62,246.0,1
RETAILMAX S.A. - VENTAS 2021,2021-000009,2021-03-24 03:39:03,S1004,C00688,P2050,Marketplace,Billetera Digital,Black Friday,1,260.25,0.05,260.25,33.83,226.42,192.16,1
RETAILMAX S.A. - VENTAS 2021,2021-000010,2021-12-17 01:53:42,S1009,C00516,P2126,Tienda,Tarjeta,Promo 10%,1,581.52,0.15,581.52,75.6,505.92,413.19,0
RETAILMAX S.A. - VENTAS 2021,2021-000011,2021-11-04 15:51:05,S1008,C00118,P2016,Web,Transferencia,Sin Promo,1,172.59,0.0,172.59,22.44,150.15,121.18,0
RETAILMAX S.A. - VENTAS 2021,2021-000012,2021-01-20 13:59:34,S1041,C00361,P2144,Marketplace,Billetera Digital,Sin Promo,5,258.88,0.05,1294.4,168.27,1126.13,177.43,0
RETAILMAX S.A. - VENTAS 2021,2021-000013,2021-11-24 17:59:57,S1039,C00221,P2012,Marketplace,Efectivo,Sin Promo,2,788.33,0.0,1576.66,204.97,1371.69,363.05,0
RETAILMAX S.A. - VENTAS 2021,2021-000014,2021-09-19 18:46:48,S1045,C00136,P2079,Web,Tarjeta,Promo 15%,2,224.63,0.1,449.26,58.4,390.86,156.92,0
RETAILMAX S.A. - VENTAS 2021,2021-000015,2021-12-02 00:00:37,S1025,C00138,P2101,Marketplace,Financiamiento,Promo 15%,5,336.53,0.0,1682.65,252.4,1430.25,262.94,1
RETAILMAX S.A. - VENTAS 2021,2021-000016,2021-07-22 14:45:43,S1025,C00171,P2065,Tienda,Tarjeta,Sin Promo,2,367.46,0.1,734.92,110.24,624.68,269.16,0
RETAILMAX S.A. - VENTAS 2021,2021-000017,2021-05-26 20:21:24,S1030,C00434,P2143,Marketplace,Transferencia,Promo 10%,4,175.44,0.0,701.76,105.26,596.5,101.86,0
RETAILMAX S.A. - VENTAS 2021,2021-000018,2021-04-10 16:33:26,S1003,C00500,P2155,Tienda,Transferencia,Promo 10%,4,141.6,0.1,566.4,73.63,492.77,71.96,0
RETAILMAX S.A. - VENTAS 2021,2021-000019,2021-09-17 03:52:34,S1011,C00395,P2140,Marketplace,Transferencia,Sin Promo,2,12.97,0.1,25.94,3.11,22.83,6.63,0
