ID_Transaccion,Fecha,Tienda,Cliente,Producto,Canal,Metodo_Pago,Promocion,Cantidad,Precio_Unitario,Descuento,Venta_Bruta,Impuesto,Venta_Neta,Costo_Unitario,Es_Devolucion,Notas,Columna_Vacia
2022-000001,03/03/2022 17:54,S1034,C00747,P2094,Tienda,Transferencia,Promo 10%,1,700.79,0.0,700.79,105.12,595.67,392.99,0,,
2022-000002,06/10/2022 13:32,S1001,C00654,P2011,Call Center,Billetera Digital,Black Friday,1,392.72,0.0,392.72,51.05,341.67,309.34,0,,
2022-000003,17/01/2022 13:38,S1007,C00751,P2082,Call Center,Billetera Digital,Sin Promo,1,281.42,0.0,281.42,36.58,244.84,152.77,0,,
2022-000004,27/10/2022 06:31,S1037,C00153,P2006,Call Center,Billetera Digital,Black Friday,1,402.01,0.0,402.01,52.26,349.75,287.52,0,,
2022-000005,18/02/2022 09:41,S1027,C00516,P2130,Marketplace,Financiamiento,Sin Promo,1,666.23,0.05,666.23,99.93,566.3,404.15,0,,
2022-000006,05/08/2022 19:53,S1013,C00752,P2130,Call Center,Financiamiento,Sin Promo,1,701.29,0.0,701.29,84.15,617.14,404.15,0,,
2022-000007,11/02/2022 14:33,S1018,C00255,P2102,Tienda,Transferencia,Cyber Week,4,475.83,0.05,1903.32,228.4,1674.92,270.07,0,,
2022-000008,17/01/2022 10:36,S1016,C00749,P2092,Web,Financiamiento,2x1,2,802.49,0.0,1604.98,192.6,1412.38,416.32,0,,
2022-000009,10/05/2022 10:10,S1035,C00056,P2121,Tienda,Financiamiento,Promo 10%,1,417.78,0.0,417.78,62.67,355.11,207.12,0,,
2022-000010,23/05/2022 16:09,S1007,C00180,P2025,Tienda,Billetera Digital,Promo 10%,2,664.27,0.0,1328.54,172.71,1155.83,394.63,0,,
2022-000011,17/01/2022 14:28,S1005,C00737,P2105,Marketplace,Tarjeta,Promo 10%,3,676.15,0.0,2028.45,263.7,1764.75,320.12,0,,
2022-000012,12/11/2022 22:18,S1008,C00383,P2126,Marketplace,Tarjeta,Cyber Week,3,615.73,0.1,1847.19,240.13,1607.06,413.19,0,,
2022-000013,23/04/2022 22:01,S1023,C00105,P2144,Web,Financiamiento,Promo 10%,1,258.88,0.05,258.88,38.83,220.05,177.43,0,,
2022-000014,14/02/2022 05:49,S1041,C00554,P2004,Call Center,Efectivo,Promo 15%,4,543.65,0.0,2174.6,282.7,1891.9,298.92,1,,
