TransactionID;Date;StoreID;CustomerID;ProductID;Channel;PaymentMethod;Promotion;Quantity;UnitPrice;DiscountPct;GrossSales;TaxAmount;NetSales;UnitCost;ReturnFlag
2023-000001;10-21-2023;S1041;C00475;P2008;Web;Billetera Digital;Black Friday;2;874.23;0.0;1748.46;227.3;1521.16;421.75;0
2023-000002;10-24-2023;S1015;C00275;P2118;Marketplace;Efectivo;Sin Promo;1;61.89;0.05;61.89;7.43;54.46;45.65;0
2023-000003;09-15-2023;S1006;C00584;P2158;Marketplace;Billetera Digital;2x1;2;488.15;0.1;976.3;126.92;849.38;274.83;0
2023-000004;04-03-2023;S1035;C00397;P2066;Tienda;Transferencia;Cyber Week;2;524.71;0.0;1049.42;157.41;892.01;297.19;0
2023-000005;08-29-2023;S1042;C00768;P2007;Marketplace;Billetera Digital;Cyber Week;2;212.03;0.0;424.06;55.13;368.93;162.45;0
2023-000006;04-28-2023;S1013;C00059;P2118;Call Center;Transferencia;Sin Promo;2;65.15;0.0;130.3;15.64;114.66;45.65;1
2023-000007;03-17-2023;S1009;C00563;P2027;Marketplace;Tarjeta;Cyber Week;1;331.73;0.0;331.73;43.12;288.61;230.42;0
2023-000008;12-21-2023;S1022;C00436;P2021;Call Center;Efectivo;Sin Promo;2;439.47;0.0;878.94;131.84;747.1;239.98;1
2023-000009;05-03-2023;S1008;C00679;P2115;Marketplace;Efectivo;Promo 15%;1;316.68;0.15;316.68;41.17;275.51;201.2;0
2023-000010;10-04-2023;S1043;C00443;P2008;Marketplace;Billetera Digital;Sin Promo;4;699.38;0.2;2797.52;363.68;2433.84;421.75;1
2023-000011;08-30-2023;S1042;C00479;P2120;Tienda;Efectivo;Black Friday;6;169.57;0.15;1017.42;132.26;885.16;113.2;0
2023-000012;02-07-2023;S1016;C00070;P2097;Web;Financiamiento;Promo 15%;1;521.13;0.0;521.13;62.54;458.59;298.37;1
2023-000013;03-19-2023;S1003;C00289;P2126;Tienda;Transferencia;Promo 15%;5;615.73;0.1;3078.65;400.22;2678.43;413.19;0
2023-000014;09-11-2023;S1036;C00466;P2057;Call Center;Financiamiento;Sin Promo;2;419.8;0.0;839.6;125.94;713.66;314.68;0
2023-000015;01-30-2023;S1045;C00680;P2026;Tienda;Billetera Digital;Promo 15%;4;436.92;0.05;1747.68;227.2;1520.48;230.43;1
2023-000016;01-11-2023;S1013;C00430;P2010;Call Center;Efectivo;Promo 10%;1;404.09;0.0;404.09;48.49;355.6;210.17;0
2023-000017;07-27-2023;S1009;C00644;P2134;Web;Efectivo;2x1;5;205.33;0.15;1026.65;133.46;893.19;153.79;0
2023-000018;08-20-2023;S1034;C00128;P2025;Call Center;Billetera Digital;Black Friday;1;531.42;0.2;531.42;79.71;451.71;394.63;0
2023-000019;05-11-2023;S1030;C00041;P2148;Web;Financiamiento;Black Friday;1;607.33;0.1;607.33;91.1;516.23;390.62;0
2023-000020;09-13-2023;S1014;C00252;P2160;Web;Billetera Digital;Black Friday;2;812.22;0.0;1624.44;194.93;1429.51;418.28;0
2023-000021;08-11-2023;S1027;C00024;P2154;Tienda;Billetera Digital;Promo 15%;1;586.57;0.2;586.57;87.99;498.58;427.53;0
2023-000022;05-22-2023;S1015;C00521;P2138;Web;Billetera Digital;Promo 15%;1;612.09;0.15;612.09;73.45;538.64;375.47;0
2023-000023;10-19-2023;S1025;C00245;P2088;Web;Billetera Digital;Sin Promo;2;543.32;0.05;1086.64;163.0;923.64;308.2;0
2023-000024;08-03-2023;S1010;C00474;P2061;Marketplace;Efectivo;2x1;1;38.41;0.1;38.41;4.61;33.8;26.36;0
2023-000025;08-17-2023;S1032;C00790;P2031;Tienda;Transferencia;Cyber Week;3;193.42;0.05;580.26;87.04;493.22;111.43;0
2023-000026;04-25-2023;S1031;C00274;P2145;Call Center;Billetera Digital;Promo 10%;5;118.01;0.0;590.05;88.51;501.54;77.61;0
2023-000027;12-07-2023;S1027;C00323;P2158;Call Center;Transferencia;2x1;2;433.91;0.2;867.82;130.17;737.65;274.83;0
2023-000028;11-12-2023;S1028;C00339;P2087;Call Center;Financiamiento;Promo 15%;3;259.02;0.2;777.06;116.56;660.5;166.63;1
2023-000029;01-26-2023;S1027;C00349;P2103;Tienda;Tarjeta;Promo 10%;1;424.9;0.0;424.9;63.73;361.17;274.37;0
2023-000030;09-28-2023;S1018;C00277;P2031;Marketplace;Billetera Digital;Cyber Week;1;183.24;0.1;183.24;21.99;161.25;111.43;0
2023-000031;01-29-2023;S1025;C00720;P2080;Web;Transferencia;Promo 10%;1;256.52;0.15;256.52;38.48;218.04;221.89;0
2023-000032;11-30-2023;S1020;C00229;P2147;Call Center;Efectivo;Sin Promo;4;438.54;0.2;1754.16;263.12;1491.04;299.7;0
2023-000033;12-25-2023;S1042;C00321;P2110;Call Center;Financiamiento;Black Friday;1;416.72;0.0;416.72;54.17;362.55;314.95;0
2023-000034;03-29-2023;S1043;C00638;P2052;Web;Financiamiento;Promo 15%;2;85.22;0.1;170.44;22.16;148.28;47.67;1
2023-000035;07-17-2023;S1005;C00479;P2001;Call Center;Transferencia;Promo 10%;1;86.24;0.1;86.24;11.21;75.03;59.67;0
2023-000036;02-09-2023;S1042;C00350;P2018;Web;Billetera Digital;2x1;1;391.86;0.0;391.86;50.94;340.92;224.11;0
2023-000037;12-03-2023;S1019;C00554;P2051;Web;Tarjeta;Promo 15%;2;812.69;0.05;1625.38;243.81;1381.57;394.02;1
2023-000038;06-03-2023;S1001;C00760;P2067;Tienda;Billetera Digital;Cyber Week;2;582.45;0.0;1164.9;151.44;1013.46;420.88;0
2023-000039;07-12-2023;S1006;C00709;P2149;Call Center;Efectivo;Cyber Week;1;191.09;0.15;191.09;24.84;166.25;173.08;0
2023-000040;12-09-2023;S1045;C00642;P2050;Web;Financiamiento;2x1;2;273.95;0.0;547.9;71.23;476.67;192.16;1
2023-000041;02-08-2023;S1025;C00337;P2141;Call Center;Billetera Digital;Promo 15%;2;832.49;0.0;1664.98;249.75;1415.23;384.64;0
2023-000042;11-28-2023;S1017;C00552;P2047;Tienda;Billetera Digital;Promo 10%;1;388.27;0.15;388.27;46.59;341.68;295.44;0
2023-000043;02-15-2023;S1030;C00053;P2001;Tienda;Efectivo;Sin Promo;4;76.66;0.2;306.64;46.0;260.64;59.67;1
