TransactionID,Date,StoreID,CustomerID,ProductID,Channel,PaymentMethod,Promotion,Quantity,UnitPrice,DiscountPct,GrossSales,TaxAmount,NetSales,UnitCost,ReturnFlag
2025-000001,2025-05-30 13:20:53,S1035,C00333,P2067,Tienda,Tarjeta,Promo 10%,2,582.45,0.0,1164.9,174.74,990.16,420.88,0
2025-000002,2025-07-01 03:05:06,S1022,C00151,P2101,Marketplace,Billetera Digital,Promo 15%,1,319.7,0.05,319.7,47.95,271.75,262.94,0
2025-000003,2025-04-26 06:06:03,S1029,C00469,P2130,Tienda,Financiamiento,Cyber Week,2,666.23,0.05,1332.46,199.87,1132.59,404.15,1
2025-000004,2025-11-15 08:33:03,S1026,,P2117,Marketplace,Billetera Digital,2x1,1,75.78,0.1,75.78,11.37,64.41,41.82,0
2025-000005,2025-04-03 17:44:24,S1010,C00184,P2122,Marketplace,Financiamiento,Sin Promo,4,579.38,0.15,2317.52,278.1,2039.42,324.38,0
2025-000006,2025-07-14 23:44:53,S1041,C00554,P2129,Web,Financiamiento,2x1,1,504.95,0.0,504.95,65.64,439.31,401.84,0
2025-000007,2025-02-22 02:54:01,S1017,C00069,P2056,Web,Financiamiento,Promo 15%,4,753.9,0.15,3015.6,361.87,2653.73,417.23,0
2025-000008,2025-04-16 02:30:29,S1021,C00362,P2103,Marketplace,Tarjeta,2x1,2,403.65,0.05,807.3,121.09,686.21,274.37,0
2025-000009,2025-02-22 12:42:55,S1025,C00775,P2159,Web,Billetera Digital,Sin Promo,1,608.84,0.05,608.84,91.33,517.51,434.27,0
2025-000010,2025-07-05 12:14:51,S1007,C00236,P2036,Marketplace,Transferencia,2x1,1,288.63,0.0,288.63,37.52,251.11,143.03,1
2025-000011,2025-02-20 18:08:02,S1010,C00694,P2006,Tienda,Transferencia,Promo 10%,1,381.91,0.05,381.91,45.83,336.08,287.52,0
2025-000012,2025-01-21 16:00:39,S1039,C00768,P2002,Web,Financiamiento,Promo 10%,2,232.13,0.2,464.26,60.35,403.91,134.76,0
2025-000013,2025-08-25 05:31:44,S1029,C00249,P2120,Call Center,Tarjeta,Promo 15%,1,199.5,0.0,199.5,29.92,169.58,113.2,0
2025-000014,2025-05-10 06:20:00,S1029,C00192,P2054,Web,Financiamiento,Promo 10%,1,393.79,0.15,393.79,59.07,334.72,220.6,0
2025-000015,2025-11-20 22:26:04,S1011,C00537,P2149,Tienda,Financiamiento,Sin Promo,4,179.85,0.2,719.4,86.33,633.07,173.08,1
2025-000016,2025-09-23 23:32:15,S1014,C00678,P2109,Marketplace,Tarjeta,Promo 10%,1,187.45,0.1,187.45,22.49,164.96,141.94,0
2025-000017,2025-01-20 08:10:50,S1029,C00123,P2126,Web,Billetera Digital,Promo 10%,1,684.14,0.0,684.14,102.62,581.52,413.19,0
2025-000018,2025-07-13 04:17:37,S1018,C00775,P2119,Tienda,Billetera Digital,Promo 10%,1,610.46,0.2,610.46,73.26,537.2,363.73,0
2025-000019,2025-03-25 05:51:28,S1002,C00603,P2089,Call Center,Billetera Digital,2x1,1,589.23,0.2,589.23,76.6,512.63,351.93,0
2025-000020,2025-05-17 07:22:27,S1043,C00172,P2119,Tienda,Efectivo,Sin Promo,2,648.62,0.15,1297.24,168.64,1128.6,363.73,1
2025-000021,2025-10-28 23:29:44,S1029,C00571,P2077,Web,Financiamiento,Sin Promo,5,794.69,0.0,3973.45,596.02,3377.43,400.81,0
2025-000022,2025-01-25 07:58:11,S1001,C00546,P2075,Tienda,Financiamiento,Sin Promo,1,522.04,0.1,522.04,67.87,454.17,301.87,0
2025-000023,2025-11-16 21:35:31,S1029,C00548,P2155,Call Center,Transferencia,Sin Promo,1,141.6,0.1,141.6,21.24,120.36,71.96,0
2025-000024,2025-07-16 01:03:15,S1013,C00078,P2149,Tienda,Tarjeta,Promo 15%,1,191.09,0.15,191.09,22.93,168.16,173.08,1
2025-000025,2025-12-02 07:58:48,S1002,C00217,P2035,Web,Billetera Digital,2x1,2,770.61,0.15,1541.22,200.36,1340.86,418.3,0
2025-000026,2025-02-14 09:39:52,S1004,C00630,P2080,Web,Financiamiento,Sin Promo,1,301.79,0.0,301.79,39.23,262.56,221.89,0
2025-000027,2025-05-06 21:47:27,S1008,C00556,P2130,Web,Tarjeta,Promo 10%,1,631.16,0.1,631.16,82.05,549.11,404.15,0
2025-000028,2025-04-17 03:45:55,S1012,C00204,P2049,Web,Billetera Digital,2x1,1,142.44,0.1,142.44,17.09,125.35,89.45,0
2025-000029,2025-10-13 03:14:56,S1019,C00657,P2087,Marketplace,Financiamiento,Promo 15%,4,323.78,0.0,1295.12,194.27,1100.85,166.63,1
2025-000030,2025-07-19 07:23:12,S1035,C00017,P2113,Web,Billetera Digital,Promo 10%,1,282.77,0.05,282.77,42.42,240.35,139.53,1
2025-000031,2025-02-06 06:40:08,S1032,C00750,P2089,Call Center,Billetera Digital,Black Friday,4,736.54,0.0,2946.16,441.92,2504.24,351.93,0
2025-000032,2025-11-15 17:35:07,S1022,C00656,P2066,Call Center,Billetera Digital,Black Friday,2,524.71,0.0,1049.42,157.41,892.01,297.19,0
2025-000033,2025-07-24 10:21:12,S1001,C00472,P2117,Marketplace,Billetera Digital,Promo 15%,2,84.2,0.0,168.4,21.89,146.51,41.82,0
2025-000034,2025-08-13 10:12:01,S1005,C00024,P2078,Web,Efectivo,,3,149.09,0.1,447.27,58.15,389.12,125.47,0
2025-000035,2025-01-13 03:19:40,S1005,C00552,P2089,Marketplace,Efectivo,Promo 15%,2,589.23,0.2,1178.46,153.2,1025.26,351.93,0
2025-000036,2025-04-18 18:00:06,S1007,C00696,P2090,Tienda,Transferencia,Black Friday,2,105.3,0.15,210.6,27.38,183.22,72.93,0
2025-000037,2025-01-01 16:17:10,S1021,C00323,P2044,Web,Tarjeta,Cyber Week,2,454.08,0.0,908.16,136.22,771.94,214.81,0
2025-000038,2025-03-20 18:15:36,S1039,C00440,P2019,Web,Transferencia,Sin Promo,3,424.14,0.1,1272.42,165.41,1107.01,283.84,0
2025-000039,2025-01-03 23:28:45,S1042,C00103,P2057,Web,Transferencia,2x1,1,356.83,0.15,356.83,46.39,310.44,314.68,0
2025-000040,2025-06-04 10:59:32,S1043,C00065,P2055,Web,Tarjeta,Cyber Week,1,140.77,0.0,140.77,18.3,122.47,77.43,0
2025-000041,2025-12-27 21:17:55,S1012,,P2079,Call Center,Billetera Digital,Promo 10%,1,249.59,0.0,249.59,29.95,219.64,156.92,0
2025-000042,2025-12-08 14:12:31,S1017,C00297,P2156,Tienda,Financiamiento,Cyber Week,6,69.22,0.15,415.32,49.84,365.48,55.02,1
2025-000043,2025-10-06 05:35:15,S1040,C00398,P2157,Tienda,Tarjeta,Cyber Week,2,178.7,0.2,357.4,46.46,310.94,118.28,0
2025-000044,2025-07-21 06:18:20,S1023,C00264,P2036,Call Center,Efectivo,Sin Promo,1,259.77,0.1,259.77,38.97,220.8,143.03,0
2025-000045,2025-11-04 06:34:12,S1011,C00489,P2155,Marketplace,Efectivo,Promo 15%,1,157.33,0.0,157.33,18.88,138.45,71.96,0
2025-000046,2025-11-05 10:31:04,S1014,C00414,P2114,Call Center,Transferencia,2x1,2,526.3,0.05,1052.6,126.31,926.29,274.57,1
2025-000047,2025-12-14 19:39:07,S1003,C00234,P2100,Web,Efectivo,Sin Promo,1,571.97,0.0,571.97,74.36,497.61,422.9,0
2025-000048,2025-12-24 09:04:07,S1008,C00530,P2071,Web,Transferencia,2x1,1,386.86,0.2,386.86,50.29,336.57,243.78,0
2025-000049,2025-01-15 22:09:14,S1012,C00441,P2038,Call Center,Efectivo,Promo 10%,5,139.95,0.0,699.75,83.97,615.78,104.22,0
2025-000050,2025-03-25 02:10:01,S1033,C00345,P2045,Marketplace,Transferencia,Cyber Week,2,68.91,0.0,137.82,20.67,117.15,46.07,0
