Date,Year,MonthNo,MonthName,Quarter,Week,DayOfWeekNo,DayName,IsWeekend,YearMonth
2021-01-01,2021,1,January,Q1,53,5,Friday,False,2021-01
2021-01-02,2021,1,January,Q1,53,6,Saturday,True,2021-01
2021-01-03,2021,1,January,Q1,53,7,Sunday,True,2021-01
2021-01-04,2021,1,January,Q1,1,1,Monday,False,2021-01
2021-01-05,2021,1,January,Q1,1,2,Tuesday,False,2021-01
2021-01-06,2021,1,January,Q1,1,3,Wednesday,False,2021-01
2021-01-07,2021,1,January,Q1,1,4,Thursday,False,2021-01
2021-01-08,2021,1,January,Q1,1,5,Friday,False,2021-01
2021-01-09,2021,1,January,Q1,1,6,Saturday,True,2021-01
2021-01-10,2021,1,January,Q1,1,7,Sunday,True,2021-01
2021-01-11,2021,1,January,Q1,2,1,Monday,False,2021-01
2021-01-12,2021,1,January,Q1,2,2,Tuesday,False,2021-01
2021-01-13,2021,1,January,Q1,2,3,Wednesday,False,2021-01
2021-01-14,2021,1,January,Q1,2,4,Thursday,False,2021-01
2021-01-15,2021,1,January,Q1,2,5,Friday,False,2021-01
2021-01-16,2021,1,January,Q1,2,6,Saturday,True,2021-01
2021-01-17,2021,1,January,Q1,2,7,Sunday,True,2021-01
2021-01-18,2021,1,January,Q1,3,1,Monday,False,2021-01
2021-01-19,2021,1,January,Q1,3,2,Tuesday,False,2021-01
2021-01-20,2021,1,January,Q1,3,3,Wednesday,False,2021-01
2021-01-21,2021,1,January,Q1,3,4,Thursday,False,2021-01
2021-01-22,2021,1,January,Q1,3,5,Friday,False,2021-01
2021-01-23,2021,1,January,Q1,3,6,Saturday,True,2021-01
2021-01-24,2021,1,January,Q1,3,7,Sunday,True,2021-01
2021-01-25,2021,1,January,Q1,4,1,Monday,False,2021-01
2021-01-26,2021,1,January,Q1,4,2,Tuesday,False,2021-01
2021-01-27,2021,1,January,Q1,4,3,Wednesday,False,2021-01
2021-01-28,2021,1,January,Q1,4,4,Thursday,False,2021-01
2021-01-29,2021,1,January,Q1,4,5,Friday,False,2021-01
2021-01-30,2021,1,January,Q1,4,6,Saturday,True,2021-01
2021-01-31,2021,1,January,Q1,4,7,Sunday,True,2021-01
2021-02-01,2021,2,February,Q1,5,1,Monday,False,2021-02
2021-02-02,2021,2,February,Q1,5,2,Tuesday,False,2021-02
2021-02-03,2021,2,February,Q1,5,3,Wednesday,False,2021-02
2021-02-04,2021,2,February,Q1,5,4,Thursday,False,2021-02
2021-02-05,2021,2,February,Q1,5,5,Friday,False,2021-02
2021-02-06,2021,2,February,Q1,5,6,Saturday,True,2021-02
2021-02-07,2021,2,February,Q1,5,7,Sunday,True,2021-02
2021-02-08,2021,2,February,Q1,6,1,Monday,False,2021-02
2021-02-09,2021,2,February,Q1,6,2,Tuesday,False,2021-02
2021-02-10,2021,2,February,Q1,6,3,Wednesday,False,2021-02
2021-02-11,2021,2,February,Q1,6,4,Thursday,False,2021-02
2021-02-12,2021,2,February,Q1,6,5,Friday,False,2021-02
2021-02-13,2021,2,February,Q1,6,6,Saturday,True,2021-02
2021-02-14,2021,2,February,Q1,6,7,Sunday,True,2021-02
2021-02-15,2021,2,February,Q1,7,1,Monday,False,2021-02
2021-02-16,2021,2,February,Q1,7,2,Tuesday,False,2021-02
2021-02-17,2021,2,February,Q1,7,3,Wednesday,False,2021-02
2021-02-18,2021,2,February,Q1,7,4,Thursday,False,2021-02
2021-02-19,2021,2,February,Q1,7,5,Friday,False,2021-02
2021-02-20,2021,2,February,Q1,7,6,Saturday,True,2021-02
2021-02-21,2021,2,February,Q1,7,7,Sunday,True,2021-02
2021-02-22,2021,2,February,Q1,8,1,Monday,False,2021-02
2021-02-23,2021,2,February,Q1,8,2,Tuesday,False,2021-02
2021-02-24,2021,2,February,Q1,8,3,Wednesday,False,2021-02
2021-02-25,2021,2,February,Q1,8,4,Thursday,False,2021-02
2021-02-26,2021,2,February,Q1,8,5,Friday,False,2021-02
2021-02-27,2021,2,February,Q1,8,6,Saturday,True,2021-02
2021-02-28,2021,2,February,Q1,8,7,Sunday,True,2021-02
2021-03-01,2021,3,March,Q1,9,1,Monday,False,2021-03
