Year,CountryCode,Category,TargetNetSales,TargetMarginPct
2021,SV,Electrónicos,678947.16,0.3454
2021,SV,Hogar,489707.56,0.3233
2021,SV,Oficina,816729.31,0.1811
2021,SV,Deportes,307899.82,0.2533
2021,SV,Juguetes,513836.46,0.31
2021,GT,Electrónicos,667785.39,0.1968
2021,GT,Hogar,609551.19,0.3509
2021,GT,Oficina,614784.6,0.3633
2021,GT,Deportes,636281.35,0.2774
2021,GT,Juguetes,348287.24,0.1945
2021,HN,Electrónicos,271925.71,0.3687
2021,HN,Hogar,382077.92,0.2522
2021,HN,Oficina,621599.3,0.2024
2021,HN,Deportes,440715.31,0.1958
2021,HN,Juguetes,731550.51,0.2902
2021,NI,Electrónicos,674073.18,0.3398
2021,NI,Hogar,540398.26,0.2647
2021,NI,Oficina,488106.0,0.3488
2021,NI,Deportes,824984.31,0.2866
2021,NI,Juguetes,332306.74,0.3154
2021,CR,Electrónicos,552076.61,0.2438
2021,CR,Hogar,774493.94,0.2207
2021,CR,Oficina,313249.63,0.3774
2021,CR,Deportes,411400.98,0.3271
2021,CR,Juguetes,378390.98,0.2606
2022,SV,Electrónicos,774521.18,0.2725
2022,SV,Hogar,848303.56,0.2118
2022,SV,Oficina,557569.86,0.3314
2022,SV,Deportes,816265.03,0.2656
2022,SV,Juguetes,753937.1,0.2054
2022,GT,Electrónicos,388336.17,0.3065
2022,GT,Hogar,675260.44,0.2267
2022,GT,Oficina,558323.03,0.3676
2022,GT,Deportes,572262.57,0.2524
2022,GT,Juguetes,657189.54,0.3329
2022,HN,Electrónicos,331142.92,0.2606
2022,HN,Hogar,706948.98,0.2398
2022,HN,Oficina,638727.55,0.3481
2022,HN,Deportes,788272.64,0.2753
2022,HN,Juguetes,407454.8,0.2839
2022,NI,Electrónicos,655263.49,0.3391
2022,NI,Hogar,286421.44,0.3448
2022,NI,Oficina,429235.28,0.2417
2022,NI,Deportes,529041.46,0.254
2022,NI,Juguetes,759911.6,0.3683
2022,CR,Electrónicos,773995.15,0.2687
2022,CR,Hogar,603561.33,0.2134
2022,CR,Oficina,529073.72,0.2688
2022,CR,Deportes,734851.89,0.2912
2022,CR,Juguetes,255177.06,0.1954
2023,SV,Electrónicos,651778.13,0.1931
2023,SV,Hogar,313168.08,0.2914
2023,SV,Oficina,845699.4,0.2053
2023,SV,Deportes,768707.9,0.2041
2023,SV,Juguetes,417081.8,0.3428
2023,GT,Electrónicos,472396.9,0.3497
2023,GT,Hogar,405215.55,0.1837
2023,GT,Oficina,429386.24,0.2294
2023,GT,Deportes,847007.58,0.249
2023,GT,Juguetes,385501.43,0.3207
2023,HN,Electrónicos,535934.39,0.245
2023,HN,Hogar,823279.5,0.2576
2023,HN,Oficina,584208.35,0.3442
2023,HN,Deportes,659308.78,0.299
2023,HN,Juguetes,454731.44,0.3392
2023,NI,Electrónicos,473692.56,0.2851
2023,NI,Hogar,796440.88,0.2953
2023,NI,Oficina,469689.49,0.3701
2023,NI,Deportes,449303.53,0.2531
2023,NI,Juguetes,531738.45,0.2725
2023,CR,Electrónicos,312072.96,0.3439
2023,CR,Hogar,589370.15,0.2964
2023,CR,Oficina,667281.97,0.1977
2023,CR,Deportes,684287.53,0.187
2023,CR,Juguetes,432690.42,0.3211
2024,SV,Electrónicos,585293.75,0.3037
2024,SV,Hogar,583874.98,0.3006
2024,SV,Oficina,384772.17,0.3048
2024,SV,Deportes,768692.22,0.2938
2024,SV,Juguetes,779007.75,0.337
2024,GT,Electrónicos,477077.38,0.2512
2024,GT,Hogar,642135.08,0.2659
2024,GT,Oficina,455071.71,0.1854
2024,GT,Deportes,757080.6,0.3528
2024,GT,Juguetes,627467.71,0.3275
2024,HN,Electrónicos,703476.53,0.2133
2024,HN,Hogar,689035.71,0.3358
2024,HN,Oficina,272474.88,0.2153
2024,HN,Deportes,380707.63,0.3295
2024,HN,Juguetes,399013.66,0.2628
2024,NI,Electrónicos,272603.6,0.2405
2024,NI,Hogar,823953.71,0.3521
2024,NI,Oficina,691457.68,0.1896
2024,NI,Deportes,480843.83,0.3237
2024,NI,Juguetes,278684.08,0.234
2024,CR,Electrónicos,557966.11,0.3691
2024,CR,Hogar,462457.86,0.1954
2024,CR,Oficina,500640.57,0.2249
2024,CR,Deportes,279281.24,0.3076
2024,CR,Juguetes,687706.86,0.1877
2025,SV,Electrónicos,608990.88,0.3095
2025,SV,Hogar,362509.03,0.2272
2025,SV,Oficina,310460.84,0.3227
2025,SV,Deportes,573284.08,0.1881
2025,SV,Juguetes,730833.45,0.3611
2025,GT,Electrónicos,658533.65,0.2883
2025,GT,Hogar,459369.21,0.3103
2025,GT,Oficina,570649.07,0.2276
2025,GT,Deportes,473229.58,0.2838
2025,GT,Juguetes,388447.74,0.3076
2025,HN,Electrónicos,757626.48,0.2205
2025,HN,Hogar,417351.76,0.3046
2025,HN,Oficina,807877.36,0.2927
2025,HN,Deportes,527749.92,0.2116
2025,HN,Juguetes,283115.15,0.1961
2025,NI,Electrónicos,497156.51,0.2426
2025,NI,Hogar,407936.18,0.2228
2025,NI,Oficina,542597.02,0.1895
2025,NI,Deportes,715499.14,0.3093
2025,NI,Juguetes,412853.17,0.2743
2025,CR,Electrónicos,745122.09,0.3739
2025,CR,Hogar,403914.53,0.372
2025,CR,Oficina,422885.46,0.3251
2025,CR,Deportes,764463.26,0.3341
2025,CR,Juguetes,803338.3,0.2712
